word	ref	asr
project	6	6
promise	1	2
properly	1	1
protect	0	1
pu	1	0
pub	0	1
puke	1	0
pull	13	17
pump	3	1
pumpkin	1	0
punch	3	2
puncture	0	1
puppy	3	3
purchase	0	2
purple	6	6
purpose	0	1
purposefully	1	1
purse	3	2
push	14	5
put	94	82
puzzle	1	1
q	2	1
quack	1	0
quacky	1	0
quarter	0	1
queen	2	1
question	0	5
quick	8	8
quickly	5	6
quiet	6	10
quit	4	1
quite	3	4
ra	1	0
rabbit	4	2
radiator	1	0
radio	0	1
rah	1	0
rain	13	8
rainbow	2	2
rainy	1	1
raise	2	2
randomly	1	1
range	1	2
rare	2	1
raspberry	4	0
rat	0	2
rate	0	1
rather	1	0
rattle	3	1
raven	1	0
ravens	0	1
raw	1	1
razor	2	2
reach	1	1
read	9	8
reading	2	1
ready	38	26
real	4	6
realize	2	2
really	58	57
reason	2	1
receive	1	1
recipe	1	1
reckon	1	0
recolonize	1	1
record	6	7
recorder	2	1
recording	6	5
recount	1	0
red	13	9
reel	0	1
refill	3	2
reintroduce	1	1
rejection	0	1
related	1	1
relationship	2	2
relax	0	1
release	0	1
reload	0	1
remember	20	23
repeat	1	1
request	1	1
require	1	0
research	0	1
resemblance	1	1
residence	1	0
resource	1	1
rest	6	4
result	0	1
retain	1	0
return	3	3
reuse	1	1
rhyme	1	0
rice	1	1
rid	0	1
ride	2	1
ridiculous	3	3
riding	1	2
rifle	0	1
right	112	204
ring	3	4
rinse	1	1
rip	2	1
river	1	0
road	3	4
roar	1	0
rock	5	4
rocky	1	1
roll	10	8
roof	0	1
room	25	17
root	2	2
rough	0	1
roughly	1	0
round	3	0
route	1	1
routine	1	1
row	27	11
rubber	1	0
rubble	1	0
ruin	5	3
rule	0	2
run	14	24
running	2	0
rural	1	0
rust	2	2
s	7	2
sad	3	3
safe	5	6
safely	1	1
sake	0	2
salad	1	0
sale	1	0
salt	1	0
same	5	7
sandy	2	2
sauce	3	2
save	2	5
say	159	132
scale	2	2
scalp	1	1
scan	1	0
scare	1	0
scary	1	0
scenario	0	1
scene	1	0
school	7	9
scissors	1	0
scoop	3	10
scoot	22	8
scooter	10	9
scrap	1	0
scratch	2	3
scream	7	6
screen	0	1
sea	3	1
search	0	1
season	1	2
seat	8	5
second	19	20
secret	1	1
secretly	0	1
section	2	1
see	167	204
seed	2	2
seem	1	4
segment	0	1
selection	1	1
sell	2	3
send	7	9
senior	2	3
sense	2	2
sensible	0	1
separate	1	1
seriously	1	0
serve	1	0
service	0	1
set	7	7
setting	1	1
settle	1	0
seven	3	0
seventieth	2	0
seventy	3	0
several	1	0
sh	98	0
shade	1	1
shake	2	3
shall	1	1
shame	0	1
shank	0	1
shape	8	9
share	5	3
shark	1	1
sharp	2	1
sharpen	1	1
sharpener	1	1
she	226	179
sheep	2	3
sheet	1	0
shelf	3	2
shift	1	1
shine	1	1
ship	0	1
shirt	6	4
shiver	1	1
shock	0	1
shoe	2	0
shoo	1	0
shoot	1	0
shop	3	2
short	6	4
shot	0	1
should	54	45
shoulder	2	3
shout	2	1
show	23	28
shower	2	2
shush	0	6
shut	10	5
si	2	0
sick	1	5
sickness	1	1
side	8	15
sift	1	0
sigh	2	0
sign	4	6
silly	8	5
simple	3	1
since	3	1
sing	9	6
singing	2	0
single	2	3
sink	5	1
sir	5	14
sire	11	10
sis	1	0
sish	1	0
sister	12	10
sit	46	32
site	3	1
sitter	1	0
situation	2	3
six	14	6
sixteen	2	0
sixty	4	0
sketchy	1	1
skin	1	2
skinning	0	1
skinny	3	1
skip	0	3
sky	12	10
slap	1	1
sleep	33	31
sleeping	0	1
sleepy	4	2
